primary,alternates,catalogs,common_name,match_type,notes
M1,NGC 1952,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M2,NGC 7089,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M3,NGC 5272,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M4,NGC 6121,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M5,NGC 5904,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M6,NGC 6405,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M7,NGC 6475,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M8,NGC 6523,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M9,NGC 6333,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M10,NGC 6254,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M11,NGC 6705,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M12,NGC 6218,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M13,NGC 6205,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M14,NGC 6402,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M15,NGC 7078,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M16,NGC 6611,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M17,NGC 6618,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M18,NGC 6613,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M19,NGC 6273,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M20,NGC 6514,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M21,NGC 6531,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M22,NGC 6656,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M23,NGC 6494,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M24,NGC 6603,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M25,IC 4725,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M26,NGC 6694,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M27,NGC 6853,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M28,NGC 6626,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M29,NGC 6913,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M30,NGC 7099,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M31,NGC 224,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M32,NGC 221,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M33,NGC 598,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M34,NGC 1039,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M35,NGC 2168,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M36,NGC 1960,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M37,NGC 2099,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M38,NGC 1912,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M39,NGC 7092,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M41,NGC 2287,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M42,NGC 1976,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M43,NGC 1982,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M44,NGC 2632,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M45,NGC 1432,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
